MAT-0   
MAT-635   3.22965 0.003336
MAT-636   1681.88664 7306.624479
MAT-637   3.23029 0.003117
MAT-638   -288.11023 1981.133613
MAT-639   3.23056 0.004152
MAT-640   -182.18211 1819.420364
MAT-641   213.10212 692.173596
MAT-642   3.03416 0.783368
MAT-643   3.22547 0.017910
MAT-644   3.23375 0.008079
MAT-645   3.53622 1.498657
MAT-646   3.23020 0.001232
MAT-647   -2850.34237 11931.415597
MAT-648   3.27839 0.193276
MAT-649   3.23605 0.048864
MAT-650   3.22904 0.005851
MAT-651   -nan nan
MAT-652   -nan nan
MAT-653   3.34077 0.436808
MAT-654   3.23013 0.001278
MAT-655   678.31169 9510.947259
MAT-656   4.00439 1.320253
MAT-657   -501.75980 2399.862953
MAT-658   1561.08975 7966.844250
MAT-659   3.44311 0.862978
MAT-660   3.23278 0.011579
MAT-661   -nan nan
MAT-662   80.67550 254.985536
MAT-663   -4138.63775 38986.880775
MAT-664   -1502.90178 4012.720870
MAT-665   880.75758 3876.471665
MAT-666   3.22989 0.001180
MAT-667   -69823.86716 162255.956850
MAT-668   3.39372 0.635090
MAT-669   176.19554 5948.511040
MAT-670   -731.86412 4271.579179
MAT-671   -nan nan
MAT-672   -1056.56829 4145.498439
MAT-673   -nan nan
MAT-674   3.49498 0.594039
MAT-675   3.23029 0.003117
MAT-676   3.23056 0.004152
MAT-677   3.22984 0.002238
MAT-678   396.38503 3608.820253
MAT-679   4.65824 1.665590
MAT-680   5.96680 7.856769
MAT-681   -386.45244 2478.772187
MAT-682   1572.69552 3924.079450
MAT-683   3.22547 0.017910
MAT-684   3.23375 0.008079
MAT-685   3.27052 0.358243
MAT-686   3.22771 0.007806
MAT-687   97.09746 981.084422
MAT-688   3.27839 0.193276
MAT-689   3.26639 0.189326
MAT-690   3.22904 0.005851
MAT-691   -nan nan
MAT-692   914.30696 2813.931799
MAT-693   3.56445 1.168326
MAT-694   3.22942 0.002847
MAT-695   -180.96527 6069.320752
MAT-696   -1966.75514 7971.732511
MAT-697   3.23375 0.014322
MAT-698   1295.22462 5018.968954
MAT-699   -2258.90591 8062.873953
MAT-700   87.65312 221.809507
MAT-701   3.22956 0.002931
MAT-702   573.59567 2371.879608
MAT-703   -nan nan
MAT-704   -2373.52085 6345.283108
MAT-705   4081.04044 11929.600785
MAT-706   3.39372 0.635090
MAT-707   -2200.39728 6546.145450
MAT-708   1234.49229 4301.097633
MAT-709   3.22969 0.001089
MAT-710   3.22965 0.003336
MAT-711   3.23111 0.004815
MAT-712   1697.38516 7374.152265
MAT-713   3.23056 0.004152
MAT-714   4.48777 3.207012
MAT-715   3.22987 0.002665
MAT-716   3.43543 0.823807
MAT-717   569.10985 2025.521909
MAT-718   -12304.39287 37785.928010
MAT-719   -nan nan
MAT-720   3.23004 0.002448
MAT-721   3.23004 0.002448
MAT-722   -nan nan
MAT-723   24.00021 81.388300
MAT-724   -nan nan
MAT-725   -6969.84924 27912.118438
MAT-726   -472.00195 1899.140275
MAT-727   -886.32278 5558.936456
MAT-728   3.46988 0.578593
MAT-729   3.28365 0.178138
MAT-730   3.23000 0.001950
MAT-731   1152.01670 7925.639086
MAT-732   -nan nan
MAT-733   -nan nan
MAT-734   1783.48084 3319.188558
MAT-735   3.23121 0.004350
MAT-736   3.23121 0.004350
MAT-737   3.22997 0.001306
MAT-738   -nan nan
MAT-739   -527.39195 5883.917853
MAT-740   -2650.23255 11603.275156
MAT-741   434.42726 3296.509951
MAT-742   78.49141 294.165897
MAT-743   3.23050 0.001496
MAT-744   4.03854 3.505188
MAT-745   3.25586 0.102752
MAT-746   -111.17388 1297.403570
MAT-747   53.46804 769.598805
MAT-748   3.23026 0.001399
MAT-749   3.40194 0.644211
MAT-750   -nan nan
MAT-751   -1311.22826 10529.206499
MAT-752   3.23447 0.008799
MAT-753   -16.09081 1283.195119
MAT-754   -4851.14925 7929.800648
MAT-755   -3506.83492 15930.823782
MAT-756   3.22862 0.011365
MAT-757   3.23072 0.001192
MAT-758   2.95822 1.078699
MAT-759   -5776.52464 33438.058676
MAT-760   3.24424 0.059978
MAT-761   1029.27169 3265.649892
MAT-762   -703.34766 7716.428556
MAT-763   -2991.49524 16046.332095
MAT-764   2184.52600 32641.070030
MAT-765   3.24035 0.041515
MAT-766   22.43400 685.436557
MAT-767   3.23201 0.056263
MAT-768   -238.93512 5272.741465
MAT-769   3.23058 0.002219
MAT-770   -nan nan
MAT-771   3.23121 0.004350
MAT-772   -651.51930 2816.956210
MAT-773   -nan nan
MAT-774   382.47601 1153.744838
MAT-775   -nan nan
MAT-776   113.83749 427.428705
MAT-777   5263.67823 15390.814851
MAT-778   3.23008 0.001267
MAT-779   3.23008 0.001267
MAT-780   -886.73499 2072.846995
MAT-781   3.23050 0.001496
MAT-782   3.23192 0.006589
MAT-783   3.25586 0.102752
MAT-784   3.54672 0.900628
MAT-785   -1997.52826 5816.587469
MAT-786   3.34222 0.451215
MAT-787   2333.73405 15541.626021
MAT-788   -902.22498 8387.124720
MAT-789   3.23447 0.008799
MAT-790   3.22979 0.001794
MAT-791   -nan nan
MAT-792   3.28551 0.220960
MAT-793   -nan nan
MAT-794   3.22862 0.011365
MAT-795   -nan nan
MAT-796   48.82638 182.199120
MAT-797   -268.76448 6571.364686
MAT-798   25085.00483 83715.556076
MAT-799   -3640.95070 13647.281191
MAT-80   5.37050 3.761008
MAT-81   3.22900 0.002176
MAT-82   -225.73134 950.934288
MAT-83   -185.42322 957.179246
MAT-84   921.18533 3530.327819
MAT-85   3.23147 0.017066
MAT-86   3.22501 0.021683
MAT-87   3.23284 0.010312
MAT-88   -983.99765 5049.231555
MAT-89   -218.29815 3191.519531
MAT-90   68.02176 232.443286
MAT-91   3.23870 0.022706
MAT-92   3.23036 0.001607
MAT-93   3.22993 0.001617
MAT-94   3.60509 1.749939
MAT-95   -2431.14935 51287.264705
MAT-96   -2429.67668 6083.456191
MAT-97   876.34577 2324.731363
MAT-98   3.23885 0.034122
MAT-99   17429.52112 51957.345598
MAT-100   3.33714 0.426363
MAT-101   3.22888 0.002722
